Age of vehicle,engine capacity (cc),Fuel consumption (metric combined),Noise level (dB(A)),fuel type,gearbox,CO2 emission (g/km)
0.453026616,2.928115693,0.853419412,0.02747747,-1.1847247,-1.25534728,282
0.453026616,2.928115693,0.853419412,0.02747747,-1.1847247,-1.25534728,282
-0.250780771,2.928115693,0.853419412,0.02747747,-1.1847247,-1.25534728,282
-0.900449128,2.272767588,0.853419412,0.063853322,0.800217618,0.778232815,248
-1.117005247,2.272767588,0.853419412,0.063853322,0.800217618,0.778232815,248
-1.333561365,2.272767588,0.853419412,0.063853322,0.800217618,0.778232815,248
-1.550117484,2.272767588,0.853419412,0.063853322,0.800217618,0.778232815,248
-1.766673603,2.272767588,0.853419412,0.063853322,0.800217618,0.778232815,248
-1.983229722,2.272767588,0.853419412,0.063853322,0.800217618,0.778232815,248
-2.199785841,2.272767588,0.853419412,-0.086846633,0.800217618,0.778232815,248
-2.41634196,2.272767588,0.853419412,-0.086846633,0.800217618,0.778232815,248
-2.632898079,2.272767588,0.853419412,-0.086846633,0.800217618,0.778232815,248
-0.250780771,0.5811853,0.823276765,-3.746465116,-1.1847247,-1.25534728,283
-0.900449128,2.272767588,0.823276765,-0.086846633,0.800217618,-0.984203267,245
-1.117005247,2.272767588,0.823276765,-0.086846633,0.800217618,-0.984203267,245
-1.333561365,2.272767588,0.823276765,-0.086846633,0.800217618,-0.984203267,245
-1.550117484,2.272767588,0.823276765,-0.086846633,0.800217618,-0.984203267,245
-1.766673603,2.272767588,0.823276765,-0.086846633,0.800217618,-0.984203267,245
-1.983229722,2.272767588,0.823276765,-0.086846633,0.800217618,-0.984203267,245
1.265112061,1.281343532,0.823276765,-0.138812135,0.800217618,-1.797635305,252
1.048555943,1.281343532,0.823276765,-0.138812135,0.800217618,-1.797635305,252
0.453026616,1.272941633,0.793134119,0.089836072,-1.1847247,-1.662063299,277
0.453026616,1.272941633,0.793134119,0.089836072,-1.1847247,-1.662063299,277
0.831999824,0.816438466,0.793134119,0.043067121,0.800217618,0.778232815,250
0.398887586,0.816438466,0.793134119,0.043067121,0.800217618,0.778232815,250
-0.034224652,1.251936886,0.793134119,0.043067121,-1.1847247,1.32052084,279
1.265112061,0.588186882,0.762991473,-0.112829384,0.800217618,-1.662063299,246
1.265112061,-0.106370084,0.762991473,-0.008898381,0.800217618,-1.662063299,247
0.831999824,0.816438466,0.762991473,-0.060863882,0.800217618,-1.662063299,247
0.615443705,-0.106370084,0.762991473,-0.008898381,0.800217618,-1.662063299,247
0.398887586,0.816438466,0.762991473,-0.060863882,0.800217618,-1.662063299,247
0.453026616,1.272941633,0.762991473,0.089836072,-1.1847247,-1.662063299,274
0.453026616,1.272941633,0.762991473,0.089836072,-1.1847247,-1.662063299,274
-0.46733689,0.5811853,0.732848826,-0.112829384,-1.1847247,-1.25534728,276
-0.683893009,0.5811853,0.732848826,-0.112829384,-1.1847247,-1.25534728,276
-0.034224652,1.77705556,0.732848826,-0.112829384,0.800217618,-1.25534728,245
-0.683893009,3.344009683,0.732848826,-0.060863882,-1.1847247,-1.119775273,270
1.265112061,-0.106370084,0.70270618,-0.060863882,0.800217618,-1.662063299,241
1.265112061,0.448155236,0.70270618,-0.008898381,0.800217618,0.371516796,242
1.048555943,0.448155236,0.70270618,-0.008898381,0.800217618,0.371516796,242
0.182331467,0.816438466,0.672563534,0.095032623,0.800217618,-1.662063299,237
0.831999824,-0.104969767,0.672563534,-0.112829384,0.800217618,-1.797635305,237
0.615443705,-0.104969767,0.672563534,-0.112829384,0.800217618,-1.797635305,237
0.398887586,-0.104969767,0.672563534,-0.112829384,0.800217618,-1.797635305,237
0.398887586,1.562807141,0.672563534,0.095032623,0.800217618,-0.035199223,250
1.048555943,0.543376756,0.672563534,0.146998124,-1.1847247,1.591664853,270
0.831999824,1.232332456,0.642420888,0.043067121,-1.1847247,-1.662063299,262
0.615443705,1.232332456,0.642420888,0.043067121,-1.1847247,-1.662063299,262
0.398887586,1.232332456,0.642420888,0.043067121,-1.1847247,-1.662063299,262
0.398887586,1.470386255,0.642420888,0.095032623,0.800217618,-1.797635305,238
0.831999824,0.827640998,0.642420888,0.043067121,-1.1847247,0.371516796,263
1.048555943,0.827640998,0.642420888,-0.008898381,-1.1847247,0.371516796,263
0.615443705,0.827640998,0.642420888,0.043067121,-1.1847247,0.371516796,263
-0.034224652,0.448155236,0.642420888,0.095032623,0.800217618,0.778232815,238
0.831999824,0.827640998,0.612278241,0.043067121,-1.1847247,0.371516796,260
1.048555943,0.827640998,0.612278241,-0.008898381,-1.1847247,0.371516796,260
0.615443705,0.827640998,0.612278241,0.043067121,-1.1847247,0.371516796,260
0.398887586,0.827640998,0.612278241,0.043067121,-1.1847247,0.371516796,260
1.265112061,0.389341945,0.612278241,0.043067121,0.800217618,0.371516796,235
0.615443705,0.389341945,0.612278241,0.095032623,0.800217618,0.371516796,235
0.831999824,0.448155236,0.612278241,-0.008898381,0.800217618,0.371516796,235
-0.250780771,0.5811853,0.612278241,-0.060863882,-1.1847247,0.778232815,264
-0.46733689,0.5811853,0.612278241,-0.060863882,-1.1847247,0.778232815,264
-0.683893009,0.5811853,0.612278241,-0.060863882,-1.1847247,0.778232815,264
0.615443705,2.60884354,0.612278241,-0.112829384,-1.1847247,1.32052084,265
0.398887586,2.60884354,0.612278241,-0.112829384,-1.1847247,1.32052084,265
-0.034224652,-0.104969767,0.582135595,-0.076453533,0.800217618,-1.662063299,232
0.453026616,0.404745426,0.582135595,-0.242743138,0.800217618,-1.662063299,233
