Age of vehicle,engine capacity (cc),Fuel consumption (metric combined),fuel type,gearbox,Noise level (dB(A)),Nox emissions (g/km),HC emissions (g/km),CO2 emission (g/km),CO emissions (g/km)
0.821314566,0.142084735,-0.842005272,-1.277345062,0.768589942,0.04104745,0.393,0.047,159,0.373
0.821314566,0.142084735,-0.842005272,-1.277345062,0.360397637,0.04104745,0.36,0.05,157,0.02
1.044743291,0.142084735,-0.842005272,-1.277345062,0.360397637,0.04104745,0.36,0.05,157,0.02
0.597885841,0.142084735,-0.842005272,-1.277345062,0.768589942,0.142972463,0.454,0.059,161,0.305
0.374457116,0.142084735,-0.842005272,-1.277345062,0.768589942,0.142972463,0.454,0.059,161,0.305
0.151028391,0.142084735,-0.842005272,-1.277345062,0.768589942,0.142972463,0.454,0.059,161,0.305
-0.072400334,0.142084735,-0.842005272,-1.277345062,0.768589942,0.142972463,0.454,0.059,161,0.305
-1.412972685,-0.992785728,-0.842005272,0.782047997,0.360397637,-0.009915057,0.019,0.035,139,0.159
-1.412972685,-0.96775182,-0.842005272,0.782047997,0.360397637,-0.009915057,0.019,0.035,139,0.159
-0.966115235,-1.170804624,-0.842005272,0.782047997,0.360397637,-0.009915057,0.04,0.04,139,0.565
-0.519257785,-1.170804624,-0.842005272,0.782047997,0.360397637,-0.009915057,0.04,0.04,139,0.566
-0.74268651,-1.170804624,-0.842005272,0.782047997,0.360397637,-0.009915057,0.04,0.04,139,0.566
-0.295829059,-1.384983608,-0.842005272,0.782047997,-1.68056389,0.010469946,0.011,0.032,139,0.392
-2.53011631,-0.672908024,-0.797389488,0.782047997,0.360397637,-0.009915057,0.018,0.028,138,0.298
-1.63640141,-0.672908024,-0.797389488,0.782047997,0.360397637,-0.009915057,0.008,0.033,139,0.115
-2.306687585,-0.672908024,-0.797389488,0.782047997,-0.319922872,0.04104745,0.012,0.039,139,0.294
-2.53011631,-0.672908024,-0.797389488,0.782047997,-0.319922872,0.04104745,0.012,0.039,139,0.294
1.268172016,-1.507371599,-0.797389488,0.782047997,0.224333535,-0.009915057,0.028,0.064,149,0.614
1.044743291,-1.507371599,-0.797389488,0.782047997,0.224333535,-0.009915057,0.041,0.066,149,0.584
-0.314597072,-1.090139811,-0.797389488,0.782047997,0.360397637,-0.213765083,0.01,0.04,141,0.39
-0.072400334,-0.685424977,-0.797389488,0.782047997,0.360397637,0.04104745,0.014,0.058,144,0.148
0.151028391,-0.96218873,-0.797389488,0.782047997,0.360397637,-0.060877563,0.033,0.064,144,0.218
-0.519257785,-0.953844094,-0.797389488,0.782047997,0.360397637,-0.060877563,0.008,0.025,142,0.245
-0.74268651,-0.953844094,-0.797389488,0.782047997,0.360397637,-0.060877563,0.008,0.025,142,0.245
0.374457116,-1.030336588,-0.797389488,0.782047997,0.360397637,-0.009915057,0.036,0.036,144,0.384
1.268172016,-1.505980826,-0.797389488,0.782047997,0.360397637,-0.009915057,0.025,0.071,144,0.209
-0.072400334,-0.126334382,-0.752773703,-1.277345062,0.768589942,-0.060877563,0.199,0.011,163,0.085
0.597885841,0.142084735,-0.752773703,-1.277345062,0.768589942,0.04104745,0.406,0.043,161,0.336
0.374457116,0.142084735,-0.752773703,-1.277345062,0.768589942,0.04104745,0.455,0.051,164,0.187
0.821314566,-1.02060118,-0.752773703,0.782047997,0.224333535,-0.11184007,0.033,0.047,147,0.662
1.044743291,-1.02060118,-0.752773703,0.782047997,0.224333535,-0.11184007,0.033,0.047,147,0.662
1.044743291,-1.507371599,-0.752773703,0.782047997,-0.319922872,-0.264727589,0.022,0.077,149,0.517
1.268172016,-1.507371599,-0.752773703,0.782047997,-0.319922872,-0.264727589,0.029,0.106,149,0.828
1.044743291,-0.96218873,-0.752773703,0.782047997,0.360397637,-0.060877563,0.025,0.068,146,0.258
-1.506812749,-0.672908024,-0.752773703,0.782047997,-0.319922872,0.04104745,0.007,0.039,142,0.262
-1.897813018,-0.672908024,-0.752773703,0.782047997,-0.319922872,0.04104745,0.007,0.039,142,0.262
-0.072400334,-1.384983608,-0.752773703,0.782047997,-1.68056389,-0.060877563,0.008,0.031,145,0.278
-0.295829059,-0.953844094,-0.752773703,0.782047997,0.360397637,-0.060877563,0.011,0.041,145,0.361
0.821314566,-1.505980826,-0.752773703,0.782047997,0.360397637,-0.009915057,0.012,0.052,146,0.42
0.374457116,0.142084735,-0.708157919,-1.277345062,0.224333535,-0.009915057,0.378,0.048,170,0.336
0.151028391,0.142084735,-0.708157919,-1.277345062,0.224333535,-0.009915057,0.378,0.048,170,0.336
-0.74268651,-0.672908024,-0.708157919,0.782047997,1.040718146,-0.11184007,0.019,0.035,146,0.387
-1.506812749,-0.672908024,-0.708157919,0.782047997,0.768589942,0.04104745,0.009,0.038,143,0.492
-1.897813018,-0.672908024,-0.708157919,0.782047997,0.768589942,0.04104745,0.009,0.038,143,0.492
-0.295829059,-0.682643432,-0.708157919,0.782047997,0.360397637,-0.009915057,0.012,0.031,152,0.425
0.597885841,-1.030336588,-0.708157919,0.782047997,0.360397637,-0.11184007,0.01,0.034,150,0.4
0.597885841,-1.030336588,-0.708157919,0.782047997,0.360397637,-0.009915057,0.02,0.038,150,0.32
-0.519257785,-0.953844094,-0.708157919,0.782047997,-1.68056389,-0.060877563,0.007,0.044,146,0.216
-0.74268651,-0.953844094,-0.708157919,0.782047997,-1.68056389,-0.060877563,0.007,0.044,146,0.216
-0.072400334,-0.949671776,-0.708157919,0.782047997,0.360397637,-0.009915057,0.013,0.056,146,0.582
-0.295829059,-0.96775182,-0.663542135,0.782047997,0.360397637,0.092009956,0.022,0.032,154,0.483
-0.519257785,-0.96775182,-0.663542135,0.782047997,0.360397637,0.092009956,0.022,0.032,154,0.483
-0.74268651,-0.96775182,-0.663542135,0.782047997,0.360397637,0.092009956,0.022,0.032,154,0.483
-0.072400334,-0.96775182,-0.663542135,0.782047997,0.360397637,-0.009915057,0.019,0.037,150,0.586
-0.295829059,-0.96775182,-0.663542135,0.782047997,0.360397637,-0.009915057,0.019,0.037,150,0.586
-1.859830135,-0.672908024,-0.663542135,0.782047997,-0.319922872,-0.11184007,0.016,0.052,145,0.439
-2.08325886,-0.672908024,-0.663542135,0.782047997,-0.319922872,-0.11184007,0.016,0.052,145,0.439
0.374457116,-1.088749039,-0.663542135,0.782047997,-1.68056389,-0.101647568,0.01,0.07,150,0.72
1.268172016,-1.505980826,-0.663542135,0.782047997,0.360397637,-0.009915057,0.012,0.048,151,0.564
1.044743291,-1.505980826,-0.663542135,0.782047997,0.360397637,-0.009915057,0.012,0.048,149,0.564
1.268172016,0.142084735,-0.61892635,-1.277345062,0.224333535,0.142972463,0.396,0.042,168,0.212
1.044743291,0.142084735,-0.61892635,-1.277345062,0.224333535,0.142972463,0.396,0.042,168,0.212
0.597885841,0.142084735,-0.61892635,-1.277345062,0.224333535,-0.009915057,0.411,0.024,175,0.287
0.821314566,-1.02060118,-0.61892635,0.782047997,-0.319922872,-0.162802576,0.035,0.068,155,0.628
1.044743291,-1.02060118,-0.61892635,0.782047997,-0.319922872,-0.162802576,0.035,0.068,155,0.628
1.268172016,-0.96218873,-0.61892635,0.782047997,0.360397637,0.04104745,0.023,0.043,154,0.251
1.268172016,-1.030336588,-0.61892635,0.782047997,0.360397637,-0.11184007,0.01,0.044,154,0.49
0.597885841,-1.030336588,-0.61892635,0.782047997,0.360397637,-0.11184007,0.01,0.044,154,0.49
-1.859830135,-0.645092571,-0.574310566,0.782047997,-0.319922872,-0.11184007,0.007,0.026,153,0.236
-2.08325886,-0.645092571,-0.574310566,0.782047997,-0.319922872,-0.11184007,0.007,0.026,153,0.236
-2.306687585,-0.645092571,-0.574310566,0.782047997,-0.319922872,-0.11184007,0.007,0.026,153,0.236
-2.53011631,-0.645092571,-0.574310566,0.782047997,-0.319922872,-0.11184007,0.007,0.026,153,0.236
-2.753545036,-0.645092571,-0.574310566,0.782047997,-0.319922872,-0.11184007,0.007,0.26,153,0.236
