Age of vehicle,engine capacity (cc),Fuel consumption (metric combined),fuel type,gearbox,Noise level (dB(A)),PM emissions (g/km),Nox emissions (g/km),HC emissions (g/km),CO2 emission (g/km),CO emissions (g/km)
0.430314297,2.895814534,1.254936592,-1.277345062,-1.272371585,0.025758698,0.07,0.61,NA,282,0.37
-0.295829059,2.895814534,1.254936592,-1.277345062,-1.272371585,0.025758698,0.07,0.61,NA,282,0.37
1.044743291,0.809655595,1.254936592,-1.277345062,-1.68056389,0.092009956,0.1,N/A,N/A,279,1.765
0.430314297,1.25192129,1.165705024,-1.277345062,-1.68056389,0.086913706,0.07,0.52,NA,277,0.08
-0.072400334,1.231059701,1.165705024,-1.277345062,1.312846349,0.04104745,0.05,0.342,NA,279,0.274
0.430314297,1.25192129,1.121089239,-1.277345062,-1.68056389,0.086913706,0.07,0.52,NA,274,0.08
0.430314297,1.25192129,1.121089239,-1.277345062,-1.68056389,0.086913706,0.07,0.52,NA,274,0.8
-0.74268651,3.308874004,1.076473455,-1.277345062,-1.136307483,-0.060877563,0.03,0.33,NA,270,0.08
-0.519257785,0.564879613,1.076473455,-1.277345062,-1.272371585,-0.11184007,0.01,0.361,0.029,276,0.076
-0.74268651,0.564879613,1.076473455,-1.277345062,-1.272371585,-0.11184007,0.01,0.361,0.029,276,0.076
1.044743291,0.527328752,0.987241886,-1.277345062,1.584974553,0.142972463,0.16,,,270,0.162
0.821314566,1.211588884,0.942626102,-1.277345062,-1.68056389,0.04104745,0.05,0.662,0.056,262,0.18
0.597885841,1.211588884,0.942626102,-1.277345062,-1.68056389,0.04104745,0.05,0.662,0.056,262,0.18
0.374457116,1.211588884,0.942626102,-1.277345062,-1.68056389,0.04104745,0.05,0.662,0.056,262,0.18
0.821314566,0.809655595,0.942626102,-1.277345062,0.360397637,0.04104745,0.06,0.632,0.116,263,0.747
0.597885841,0.809655595,0.942626102,-1.277345062,0.360397637,0.04104745,0.06,0.632,0.116,263,0.747
1.044743291,0.809655595,0.942626102,-1.277345062,0.360397637,-0.009915057,0.06,N/A,N/A,263,0.677
0.597885841,2.578718375,0.898010318,-1.277345062,1.312846349,-0.11184007,0.04,0.369,NA,265,0.133
0.374457116,2.578718375,0.898010318,-1.277345062,1.312846349,-0.11184007,0.04,0.369,NA,265,0.133
0.821314566,0.809655595,0.898010318,-1.277345062,0.360397637,0.04104745,0.06,0.632,0.116,260,0.747
0.597885841,0.809655595,0.898010318,-1.277345062,0.360397637,0.04104745,0.06,0.632,0.116,260,0.747
1.044743291,0.809655595,0.898010318,-1.277345062,0.360397637,-0.009915057,0.06,N/A,N/A,260,0.677
-0.295829059,0.564879613,0.898010318,-1.277345062,0.768589942,-0.060877563,0,0.309,0.029,264,0.111
-0.519257785,0.564879613,0.898010318,-1.277345062,0.768589942,-0.060877563,0,0.309,0.029,264,0.111
-0.74268651,0.564879613,0.898010318,-1.277345062,0.768589942,-0.060877563,0,0.309,0.029,264,0.111
1.044743291,0.576005794,0.853394533,-1.277345062,1.312846349,-0.009915057,0.04,0.378,NA ,262,0.082
1.268172016,0.576005794,0.808778749,-1.277345062,1.176782248,-0.060877563,0.04,0.378,NA,259,0.082
0.430314297,1.25192129,0.764162965,-1.277345062,0.360397637,0.097106207,0.06,0.56,NA,253,0.27
-0.295829059,1.25192129,0.71954718,-1.277345062,-1.272371585,0.193934969,0.06,0.47,NA,248,0.07
0.430314297,1.25192129,0.71954718,-1.277345062,0.360397637,0.097106207,0.06,0.56,NA,250,0.27
-0.519257785,1.231059701,0.674931396,-1.277345062,0.088269433,-0.11184007,0,0.178,NA,199,0.071
1.044743291,0.279771225,0.674931396,-1.277345062,0.360397637,0.04104745,0.07,N/A,N/A,246,0.623
-0.295829059,1.25192129,0.630315612,-1.277345062,0.768589942,-0.03539631,0.04,0.31,NA,243,0.04
1.044743291,-0.126334382,0.630315612,-1.277345062,-1.68056389,-0.009915057,0.07,0.685,,246,0.027
0.597885841,-0.126334382,0.630315612,-1.277345062,-1.68056389,-0.009915057,0.09,0.662,,246,0.04
0.374457116,-0.126334382,0.630315612,-1.277345062,-1.68056389,-0.009915057,0.09,0.662,,246,0.04
-0.295829059,1.25192129,0.585699827,-1.277345062,0.768589942,-0.03539631,0.04,0.31,NA,240,0.04
0.597885841,1.211588884,0.585699827,-1.277345062,0.360397637,0.092009956,0.03,0.616,0.104,240,0.537
0.374457116,1.14065948,0.585699827,-1.277345062,-1.68056389,0.04104745,0.05,0.485,,241,0.07
-0.295829059,1.25192129,0.541084043,-1.277345062,-1.272371585,-0.127128822,0.04,0.32,NA,238,0.02
-0.74268651,1.25192129,0.541084043,-1.277345062,-1.272371585,-0.127128822,0.04,0.32,NA,224,0.02
0.597885841,0.576005794,0.541084043,-1.277345062,1.176782248,-0.009915057,0.03,0.343, na,243,0.117
